Actual,Predicted,Difference
463500,466846.05,-3346.05
422700,554667.3,-131967.3
334700,341892.45,-7192.45
244500,312806.41,-68306.41
273500,309663.95,-36163.95
245600,260820.01,-15220.01
544800,586244.15,-41444.15
392000,370213.01,21786.99
378500,374479.78,4020.22
317100,354500.6,-37400.6
273000,300662.25,-27662.25
456100,420857.19,35242.81
240900,245664.39,-4764.39
250500,285741.61,-35241.61
224500,218885.93,5614.07
302900,316182.83,-13282.83
289800,302372.08,-12572.08
545100,565820.4,-20720.4
269900,286878.78,-16978.78
459900,692501.68,-232601.68
334400,338470.9,-4070.9
131100,173549.38,-42449.38
438400,399822.16,38577.84
458000,388967.22,69032.78
232500,279472.33,-46972.33
320900,248424.13,72475.87
444200,400177.34,44022.66
397000,377250.14,19749.86
456500,470251.52,-13751.52
290700,318714.24,-28014.24
575400,543530.3,31869.7
303700,335758.77,-32058.77
377200,367805.37,9394.63
427800,405521.74,22278.26
439000,393947.85,45052.15
904800,823814.39,80985.61
465000,451065.45,13934.55
494700,566866.7,-72166.7
302700,296262.41,6437.59
233900,259053.5,-25153.5
222600,301677.45,-79077.45
327700,341398.2,-13698.2
311200,319572.78,-8372.78
365800,345585.03,20214.97
259700,287014.54,-27314.54
281300,252050.24,29249.76
243200,268005.71,-24805.71
343600,352402.38,-8802.38
224300,270489.9,-46189.9
454100,430763.4,23336.6
360700,400428.57,-39728.57
790600,461782.88,328817.12
210300,216783.99,-6483.99
289500,296557.97,-7057.97
264600,321788.67,-57188.67
429400,391848.18,37551.82
798900,746755.63,52144.37
163300,220724.3,-57424.3
647700,467977.88,179722.12
483800,438000.33,45799.67
148500,213638.51,-65138.51
433700,355732.53,77967.47
330400,328667.55,1732.45
429000,434558.45,-5558.45
464300,476864.63,-12564.63
365200,330085.34,35114.66
325600,316487.98,9112.02
549200,494288.34,54911.66
415300,452489.02,-37189.02
339900,344508.91,-4608.91
347400,380443.51,-33043.51
341100,379647.74,-38547.74
610300,589417.42,20882.58
282500,296482.28,-13982.28
285000,316910.49,-31910.49
243300,260820.09,-17520.09
221400,280594.98,-59194.98
289000,316912.79,-27912.79
362200,317989.77,44210.23
352900,378300.06,-25400.06
442300,404917.32,37382.68
673400,614165.89,59234.11
589400,514274.47,75125.53
146400,266064.68,-119664.68
354500,348197.43,6302.57
297100,314627.18,-17527.18
236200,253498.12,-17298.12
603400,490446.47,112953.53
386800,394106.79,-7306.79
274000,291125.92,-17125.92
526200,601088.8,-74888.8
347800,389226.11,-41426.11
419800,413662.15,6137.85
664500,566837.07,97662.93
268900,311678.46,-42778.46
214800,270293.28,-55493.28
405500,378809.73,26690.27
1190000,780517.28,409482.72
366200,350864.21,15335.79
600400,565251.71,35148.29
290500,322656.32,-32156.32
432300,406226.43,26073.57
629800,765434.32,-135634.32
374400,371765.11,2634.89
268600,275460.54,-6860.54
246200,279301.78,-33101.78
230800,234589.39,-3789.39
489700,469386.02,20313.98
365300,334348.34,30951.66
292200,227652.82,64547.18
228300,199875.91,28424.09
484100,452056.5,32043.5
244600,251228.93,-6628.93
252700,270466.75,-17766.75
346800,277548.35,69251.65
432800,416560.28,16239.72
438800,396172.6,42627.4
367700,356099.74,11600.26
396300,400332.54,-4032.54
242100,271597.87,-29497.87
430500,384964.22,45535.78
263300,336039.76,-72739.76
176000,239339.42,-63339.42
844900,837396.55,7503.45
590100,505196.37,84903.63
267900,298539.55,-30639.55
113200,184971.2,-71771.2
339400,342897.98,-3497.98
236000,256115.25,-20115.25
392100,337126.92,54973.08
653300,555493.06,97806.94
777500,705732.33,71767.67
488500,401994.37,86505.63
268200,248884.2,19315.8
187900,272776.35,-84876.35
255100,287309.02,-32209.02
292400,299311.0,-6911.0
363000,348961.94,14038.06
372300,370529.9,1770.1
227900,279197.41,-51297.41
467800,470973.04,-3173.04
596300,490774.72,105525.28
267800,267307.13,492.87
277700,317659.16,-39959.16
199400,216969.35,-17569.35
354500,354403.68,96.32
462800,547500.56,-84700.56
372400,391600.26,-19200.26
473100,476518.44,-3418.44
486400,466383.08,20016.92
660200,609261.7,50938.3
404400,369492.08,34907.92
604300,574759.27,29540.73
154200,193520.65,-39320.65
143700,182995.62,-39295.62
529800,563162.3,-33362.3
332900,339131.63,-6231.63
156200,230250.65,-74050.65
358900,367340.92,-8440.92
451600,419925.18,31674.82
244800,278322.15,-33522.15
368600,394341.7,-25741.7
259900,314245.54,-54345.54
435800,406096.49,29703.51
240500,285068.81,-44568.81
295000,283628.89,11371.11
645300,744751.54,-99451.54
443600,438181.1,5418.9
464000,428388.32,35611.68
345800,351981.52,-6181.52
456000,421903.94,34096.06
268700,285335.3,-16635.3
479400,450966.14,28433.86
244200,225844.86,18355.14
618500,566968.06,51531.94
712200,846421.78,-134221.78
437600,390576.21,47023.79
455600,431796.56,23803.44
238200,211718.88,26481.12
485600,478155.48,7444.52
400200,397781.99,2418.01
406100,402174.25,3925.75
247200,270974.83,-23774.83
274900,278360.77,-3460.77
440800,422282.98,18517.02
542900,511920.18,30979.82
456800,390076.42,66723.58
180500,236556.64,-56056.64
140800,226860.12,-86060.12
268200,236747.44,31452.56
551200,425671.83,125528.17
364300,354028.64,10271.36
250200,256902.08,-6702.08
339300,314078.01,25221.99
495100,466357.71,28742.29
394500,386743.69,7756.31
369100,365730.84,3369.16
490700,478839.14,11860.86
246500,291693.9,-45193.9
376100,401730.29,-25630.29
243800,271715.37,-27915.37
480000,436591.61,43408.39
571500,804432.64,-232932.64
145000,264157.64,-119157.64
240600,276347.22,-35747.22
392600,373045.18,19554.82
3275000,1516956.96,1758043.04
331200,336779.16,-5579.16
535400,439250.16,96149.84
201500,284189.49,-82689.49
258900,225871.7,33028.3
308300,314212.19,-5912.19
326300,255594.95,70705.05
233600,271601.91,-38001.91
539100,404630.47,134469.53
242100,289594.98,-47494.98
228700,221385.7,7314.3
594800,570388.67,24411.33
191400,243814.01,-52414.01
406000,361238.99,44761.01
289400,290228.71,-828.71
260900,286931.22,-26031.22
274300,286197.97,-11897.97
238800,273565.59,-34765.59
377300,365440.7,11859.3
492800,390629.89,102170.11
446900,469253.57,-22353.57
306600,340237.68,-33637.68
102100,197897.85,-95797.85
375300,354971.54,20328.46
83000,226056.13,-143056.13
219900,275998.99,-56098.99
308800,301303.95,7496.05
415200,440312.82,-25112.82
248200,271727.11,-23527.11
267300,308523.74,-41223.74
339000,349672.47,-10672.47
612600,510748.9,101851.1
794600,734744.33,59855.67
296100,311294.85,-15194.85
863200,508045.43,355154.57
256900,270141.18,-13241.18
215000,257784.87,-42784.87
1750000,702412.28,1047587.72
269600,306245.42,-36645.42
709600,543492.44,166107.56
259000,274718.98,-15718.98
582400,564936.38,17463.62
257900,299329.45,-41429.45
502100,623755.39,-121655.39
209000,229716.61,-20716.61
899300,837277.1,62022.9
428400,395033.44,33366.56
501500,440281.67,61218.33
337100,424033.5,-86933.5
489100,556416.81,-67316.81
401700,357740.31,43959.69
376300,375480.54,819.46
442900,555229.62,-112329.62
219000,314512.82,-95512.82
280900,288277.08,-7377.08
188100,219613.85,-31513.85
262900,331311.63,-68411.63
469600,426933.3,42666.7
244000,262032.02,-18032.02
311400,336027.22,-24627.22
269400,319615.08,-50215.08
275000,341965.41,-66965.41
287800,272524.95,15275.05
604800,559920.67,44879.33
295900,314947.02,-19047.02
222900,227119.66,-4219.66
452000,344381.94,107618.06
241300,258826.24,-17526.24
568500,393905.84,174594.16
499800,377770.49,122029.51
287800,312881.88,-25081.88
428800,416444.33,12355.67
329800,352292.71,-22492.71
955500,767968.84,187531.16
372300,355376.93,16923.07
490300,472314.47,17985.53
450600,431219.19,19380.81
267300,289396.17,-22096.17
450000,664201.4,-214201.4
627100,563662.83,63437.17
229400,214236.72,15163.28
346500,334790.84,11709.16
273400,230424.58,42975.42
267200,301162.63,-33962.63
986900,599156.62,387743.38
367500,381206.87,-13706.87
233400,202070.64,31329.36
270500,280914.35,-10414.35
343400,390354.17,-46954.17
308300,318654.5,-10354.5
433700,390483.35,43216.65
336500,326772.52,9727.48
251500,255293.4,-3793.4
303800,324858.38,-21058.38
269500,275438.3,-5938.3
228000,244812.58,-16812.58
239500,256508.43,-17008.43
385400,390448.58,-5048.58
455600,374350.68,81249.32
541500,390602.74,150897.26
214800,273550.17,-58750.17
520000,628276.28,-108276.28
505300,417997.93,87302.07
242000,271549.13,-29549.13
469700,443362.31,26337.69
411500,378525.6,32974.4
286400,294724.09,-8324.09
262700,276880.58,-14180.58
822500,713118.16,109381.84
288700,314009.83,-25309.83
468600,481000.82,-12400.82
540400,494376.83,46023.17
351700,345573.99,6126.01
814100,735542.32,78557.68
287300,272968.82,14331.18
564700,553651.3,11048.7
842000,819400.41,22599.59
328900,322764.06,6135.94
501200,489068.52,12131.48
238800,258805.37,-20005.37
335900,329847.42,6052.58
450800,602676.04,-151876.04
320700,282741.11,37958.89
218000,261358.09,-43358.09
635000,730152.65,-95152.65
266600,306747.06,-40147.06
423300,412862.17,10437.83
230400,230985.69,-585.69
557200,446176.75,111023.25
335200,343507.62,-8307.62
268300,339525.35,-71225.35
282700,276293.8,6406.2
231200,252848.19,-21648.19
348600,375826.65,-27226.65
361800,258955.06,102844.94
393700,381295.28,12404.72
416100,412127.46,3972.54
138400,256423.43,-118023.43
357600,385559.55,-27959.55
297200,307210.59,-10010.59
304000,361573.84,-57573.84
322500,227084.83,95415.17
364600,349400.0,15200.0
513600,551951.13,-38351.13
361800,275429.39,86370.61
850000,726379.48,123620.52
305000,348573.18,-43573.18
313000,392824.46,-79824.46
300600,298514.7,2085.3
197500,210527.01,-13027.01
357500,392233.83,-34733.83
337700,350974.12,-13274.12
250100,288562.29,-38462.29
223300,269323.05,-46023.05
333300,368682.93,-35382.93
358000,358087.77,-87.77
544000,524954.26,19045.74
458200,453058.86,5141.14
357500,400376.77,-42876.77
437100,403026.55,34073.45
243800,274256.18,-30456.18
278000,299111.32,-21111.32
373300,347310.6,25989.4
339100,374323.73,-35223.73
223200,260124.45,-36924.45
79800,230225.49,-150425.49
234900,299839.15,-64939.15
1002500,658328.34,344171.66
247700,200136.05,47563.95
423800,359490.08,64309.92
210600,215163.84,-4563.84
377700,337307.84,40392.16
1100000,724904.74,375095.26
378700,374074.46,4625.54
607100,854988.63,-247888.63
366400,382277.43,-15877.43
240100,293756.76,-53656.76
425600,631791.84,-206191.84
334500,423189.87,-88689.87
318300,353401.11,-35101.11
492100,472874.91,19225.09
285400,303628.17,-18228.17
513700,424279.96,89420.04
810600,601204.75,209395.25
257700,320464.05,-62764.05
280900,334667.04,-53767.04
94300,249186.12,-154886.12
489300,607758.55,-118458.55
347100,300524.27,46575.73
206400,244988.95,-38588.95
338400,378052.96,-39652.96
153100,210324.38,-57224.38
351800,340567.57,11232.43
779200,720554.1,58645.9
484400,597124.19,-112724.19
536700,508615.59,28084.41
1074100,672861.71,401238.29
233600,276950.38,-43350.38
236800,277506.64,-40706.64
788500,549921.5,238578.5
506600,560114.4,-53514.4
215600,235268.16,-19668.16
435300,471266.3,-35966.3
396300,371307.61,24992.39
366700,340457.74,26242.26
267500,300402.26,-32902.26
431500,404624.98,26875.02
147400,232696.34,-85296.34
356100,396994.49,-40894.49
247600,205274.97,42325.03
597900,709879.51,-111979.51
192600,195962.63,-3362.63
238700,310315.67,-71615.67
299900,301688.31,-1788.31
513700,488210.36,25489.64
373400,382964.42,-9564.42
345200,365262.55,-20062.55
675000,676746.16,-1746.16
607100,566200.93,40899.07
251300,251466.96,-166.96
423000,382239.83,40760.17
330700,365672.2,-34972.2
330100,390952.67,-60852.67
423600,405622.68,17977.32
231600,257829.05,-26229.05
334800,347560.79,-12760.79
207000,285372.53,-78372.53
220000,261713.49,-41713.49
249000,284780.25,-35780.25
320500,332996.62,-12496.62
279400,271889.21,7510.79
226100,264757.38,-38657.38
496400,377136.44,119263.56
211500,226920.99,-15420.99
417300,408604.67,8695.33
195300,199284.45,-3984.45
596400,560046.08,36353.92
484800,551772.99,-66972.99
236200,282757.29,-46557.29
263400,343760.34,-80360.34
356000,336109.38,19890.62
370900,322523.01,48376.99
325300,316121.61,9178.39
296100,306553.87,-10453.87
221600,276654.04,-55054.04
826500,732156.13,94343.87
584300,589120.65,-4820.65
758700,889678.59,-130978.59
237500,285359.17,-47859.17
464000,457358.64,6641.36
363700,360160.04,3539.96
306000,350157.08,-44157.08
340500,393311.1,-52811.1
652900,534893.44,118006.56
252400,273336.05,-20936.05
248000,290857.17,-42857.17
365300,384446.62,-19146.62
324100,338948.45,-14848.45
268000,305788.14,-37788.14
428900,397218.22,31681.78
593800,509837.19,83962.81
252000,304461.38,-52461.38
261200,276773.3,-15573.3
359600,260656.24,98943.76
212500,388669.86,-176169.86
