date,Actual,Predicted,Difference
2024-07-01,324300,327799.72,-3499.719999999972
2024-07-01,360800,356579.67,4220.330000000016
2024-07-01,248600,245813.0,2787.0
2024-07-01,651600,654821.62,-3221.6199999999953
2024-07-01,333700,333330.28,369.71999999997206
2024-07-01,471500,471560.0,-60.0
2024-07-01,244400,244402.58,-2.5799999999871943
2024-07-01,477900,482525.67,-4625.669999999984
2024-07-01,193100,192555.08,544.9200000000128
2024-07-01,302000,303205.7,-1205.7000000000116
2024-07-01,353300,351756.33,1543.6699999999837
2024-07-01,573300,568382.61,4917.390000000014
2024-07-01,517100,520196.12,-3096.1199999999953
2024-07-01,557000,550893.19,6106.810000000056
2024-07-01,312200,311010.28,1189.719999999972
2024-07-01,399400,399416.44,-16.44000000000233
2024-07-01,353500,352702.63,797.3699999999953
2024-07-01,305600,309369.69,-3769.6900000000023
2024-07-01,195500,194039.76,1460.2399999999907
2024-07-01,474500,474001.33,498.6699999999837
2024-07-01,339600,371005.33,-31405.330000000016
2024-07-01,529800,527581.41,2218.5899999999674
2024-07-01,169300,169978.0,-678.0
2024-07-01,383000,383575.1,-575.0999999999767
2024-07-01,448700,456222.72,-7522.719999999972
2024-07-01,1001100,994019.98,7080.020000000019
2024-07-01,460600,459580.13,1019.8699999999953
2024-07-01,280600,279674.67,925.3300000000163
2024-07-01,424800,425174.39,-374.39000000001397
2024-07-01,309500,309007.75,492.25
2024-07-01,280100,279616.55,483.45000000001164
2024-07-01,250200,249847.91,352.0899999999965
2024-07-01,287400,287212.76,187.2399999999907
2024-07-01,342300,342116.33,183.6699999999837
2024-08-01,592800,597583.2,-4783.199999999953
2024-08-01,269000,269055.23,-55.22999999998137
2024-08-01,631900,627773.11,4126.890000000014
2024-08-01,552700,554354.19,-1654.1899999999441
2024-08-01,315600,317711.33,-2111.3300000000163
2024-08-01,257600,257648.87,-48.86999999999534
2024-08-01,833700,852235.13,-18535.130000000005
2024-08-01,481400,483772.6,-2372.5999999999767
2024-08-01,264900,266753.37,-1853.3699999999953
2024-08-01,460300,457306.33,2993.6699999999837
2024-08-01,629500,625134.0,4366.0
2024-08-01,244700,244147.29,552.7099999999919
2024-08-01,265900,266208.67,-308.6699999999837
2024-08-01,555500,548989.37,6510.630000000005
2024-08-01,343900,343932.58,-32.5800000000163
2024-08-01,225100,225068.26,31.739999999990687
2024-08-01,511900,513248.56,-1348.5599999999977
2024-08-01,556900,561581.92,-4681.920000000042
2024-08-01,314400,310342.67,4057.3300000000163
2024-08-01,229000,228899.26,100.73999999999069
2024-08-01,425100,425570.31,-470.3099999999977
2024-08-01,750000,776134.33,-26134.329999999958
2024-08-01,1050600,986656.61,63943.390000000014
2024-08-01,267100,267265.03,-165.03000000002794
2024-08-01,452400,447070.0,5330.0
2024-08-01,320900,317598.47,3301.530000000028
2024-08-01,457000,455608.08,1391.9199999999837
2024-08-01,351700,351110.62,589.3800000000047
2024-08-01,297600,297339.71,260.28999999997905
2024-08-01,528500,527748.55,751.4499999999534
2024-08-01,299900,298874.53,1025.469999999972
2024-08-01,585000,588103.13,-3103.1300000000047
2024-08-01,251600,251755.44,-155.44000000000233
2024-08-01,179400,187799.54,-8399.540000000008
