date,median_sale_price
2023-11-01,456800
2023-11-01,180500
2023-11-01,140800
2023-11-01,268200
2023-11-01,551200
2023-11-01,364300
2023-11-01,250200
2023-11-01,339300
2023-11-01,495100
2023-11-01,394500
2023-11-01,369100
2023-11-01,490700
2023-11-01,246500
2023-11-01,376100
2023-11-01,243800
2023-11-01,480000
2023-11-01,571500
2023-11-01,145000
2023-11-01,240600
2023-11-01,392600
2023-11-01,3275000
2023-11-01,331200
2023-11-01,535400
2023-11-01,201500
2023-11-01,258900
2023-11-01,308300
2023-11-01,326300
2023-11-01,233600
2023-11-01,539100
2023-11-01,242100
2023-11-01,228700
2023-11-01,594800
2023-11-01,191400
2023-11-01,406000
2023-11-01,289400
2023-11-01,260900
2023-11-01,274300
2023-11-01,238800
2023-11-01,377300
2023-11-01,492800
2023-11-01,446900
2023-11-01,306600
2023-11-01,102100
2023-11-01,375300
2023-11-01,83000
2023-11-01,219900
2023-11-01,308800
2023-11-01,415200
2023-11-01,248200
2023-11-01,267300
2023-11-01,339000
2023-11-01,612600
2023-11-01,794600
2023-11-01,296100
2023-11-01,863200
2023-11-01,256900
2023-11-01,215000
2023-11-01,1750000
2023-11-01,269600
2023-11-01,709600
2023-11-01,259000
2023-11-01,582400
2023-11-01,257900
2023-11-01,502100
2023-11-01,209000
2023-11-01,899300
2023-11-01,428400
2023-11-01,501500
2023-11-01,337100
2023-11-01,489100
2023-11-01,401700
2023-11-01,376300
2023-11-01,442900
2023-11-01,219000
2023-11-01,280900
2023-11-01,188100
2023-11-01,262900
2023-11-01,469600
2023-11-01,244000
2023-11-01,311400
2023-11-01,269400
2023-11-01,275000
2023-11-01,287800
2023-11-01,604800
2023-11-01,295900
2023-11-01,222900
2023-11-01,452000
2023-11-01,241300
2023-11-01,568500
2023-11-01,499800
2023-11-01,287800
2023-11-01,428800
2023-11-01,329800
2023-11-01,955500
2023-11-01,372300
2023-11-01,490300
2023-11-01,450600
2023-11-01,267300
2023-11-01,450000
2023-11-01,627100
2023-11-01,229400
2023-11-01,346500
2023-11-01,273400
2023-11-01,267200
2023-11-01,986900
2023-11-01,367500
2023-11-01,233400
2023-11-01,270500
2023-11-01,343400
2023-11-01,308300
2023-11-01,433700
2023-11-01,336500
2023-11-01,251500
2023-11-01,303800
2023-11-01,269500
2023-11-01,228000
2023-11-01,239500
2023-11-01,385400
2023-11-01,455600
2023-11-01,541500
2023-11-01,214800
2023-11-01,520000
2023-11-01,505300
2023-11-01,242000
2023-11-01,469700
2023-11-01,411500
2023-11-01,286400
2023-11-01,262700
2023-11-01,822500
2023-11-01,288700
2023-11-01,468600
2023-11-01,540400
2023-11-01,351700
2023-11-01,814100
2023-11-01,287300
2023-11-01,564700
2023-11-01,842000
2023-11-01,328900
2023-11-01,501200
2023-11-01,238800
2023-11-01,335900
2023-11-01,450800
2023-11-01,320700
2023-11-01,218000
2023-11-01,635000
2023-11-01,266600
2023-11-01,423300
2023-11-01,230400
2023-11-01,557200
2023-11-01,335200
2023-11-01,268300
2023-11-01,282700
2023-11-01,231200
2023-11-01,348600
2023-11-01,361800
2023-11-01,393700
2023-11-01,416100
2023-11-01,138400
2023-11-01,357600
2023-11-01,297200
2023-11-01,304000
2023-11-01,322500
2023-11-01,364600
2023-11-01,513600
2023-11-01,361800
2023-11-01,850000
2023-11-01,305000
2023-11-01,313000
2023-11-01,300600
2023-11-01,197500
2023-11-01,357500
2023-11-01,337700
2023-11-01,250100
