Actual,Predicted,Difference
604800,536070.44,68729.56
295900,288213.3,7686.69
222900,238323.6,-15423.59
452000,400608.28,51391.72
241300,225589.45,15710.55
568500,535579.1,32920.88
499800,377551.25,122248.75
287800,288033.6,-233.59
428800,364475.38,64324.62
329800,387882.75,-58082.75
955500,900540.06,54959.94
372300,331967.12,40332.88
490300,456207.56,34092.44
450600,404671.75,45928.25
267300,262084.77,5215.23
450000,474565.53,-24565.53
627100,576024.8,51075.19
229400,177732.1,51667.91
346500,381722.8,-35222.81
273400,273534.25,-134.25
267200,243530.19,23669.81
986900,870761.8,116138.19
367500,395300.62,-27800.62
233400,190277.81,43122.19
270500,276947.94,-6447.94
343400,397636.8,-54236.81
308300,307618.56,681.44
433700,405470.8,28229.19
336500,304572.72,31927.28
251500,231208.19,20291.81
303800,258236.23,45563.77
269500,229348.02,40151.98
228000,222628.16,5371.84
239500,233430.84,6069.16
385400,445145.2,-59745.19
455600,374149.25,81450.75
541500,486116.88,55383.12
214800,237113.27,-22313.27
520000,526843.94,-6843.94
505300,475058.25,30241.75
242000,246994.9,-4994.91
469700,532160.7,-62460.69
411500,389158.62,22341.38
286400,281318.12,5081.88
262700,234013.0,28687.0
822500,754703.75,67796.25
288700,269470.38,19229.62
468600,489330.53,-20730.53
540400,485188.75,55211.25
351700,320813.4,30886.59
814100,746978.2,67121.81
287300,290083.5,-2783.5
564700,508560.44,56139.56
842000,821688.8,20311.19
328900,293778.97,35121.03
501200,502278.38,-1078.38
238800,226784.23,12015.77
335900,318494.9,17405.09
450800,426918.2,23881.81
320700,348629.53,-27929.53
218000,214574.31,3425.69
635000,659713.9,-24713.88
266600,263681.66,2918.34
423300,424347.38,-1047.38
230400,210572.31,19827.69
557200,570020.06,-12820.06
335200,287802.97,47397.03
268300,283742.9,-15442.91
282700,255559.8,27140.2
231200,217354.1,13845.91
348600,327589.84,21010.16
361800,346439.6,15360.41
393700,386008.62,7691.38
416100,368835.03,47264.97
138400,141058.08,-2658.08
357600,363213.25,-5613.25
297200,281567.94,15632.06
304000,312832.1,-8832.09
322500,274438.0,48062.0
364600,332046.34,32553.66
513600,441470.16,72129.84
361800,253156.73,108643.27
850000,910224.4,-60224.38
305000,297093.8,7906.19
313000,291464.88,21535.12
300600,288459.28,12140.72
197500,178340.9,19159.09
357500,366960.3,-9460.31
337700,346502.47,-8802.47
250100,245211.73,4888.27
223300,218232.4,5067.59
333300,301848.94,31451.06
358000,332987.0,25013.0
544000,604000.0,-60000.0
458200,466984.47,-8784.47
357500,367664.8,-10164.81
437100,408748.03,28351.97
243800,237784.31,6015.69
278000,275288.9,2711.09
373300,326040.94,47259.06
339100,381252.38,-42152.38
223200,229043.8,-5843.8
79800,166001.72,-86201.72
234900,232616.66,2283.34
1002500,856230.2,146269.81
247700,213238.2,34461.8
423800,335153.7,88646.31
210600,196298.5,14301.5
377700,331676.56,46023.44
1100000,895300.5,204699.5
378700,349976.16,28723.84
607100,566394.94,40705.06
366400,330464.94,35935.06
240100,243627.73,-3527.73
425600,567210.4,-141610.38
334500,351671.12,-17171.12
318300,310972.22,7327.78
492100,465692.44,26407.56
285400,262698.2,22701.81
513700,444398.88,69301.12
810600,890072.2,-79472.19
257700,235281.34,22418.66
280900,262696.4,18203.59
94300,135937.62,-41637.62
489300,489470.1,-170.09
347100,310940.0,36160.0
206400,212949.77,-6549.77
338400,351071.38,-12671.38
153100,146340.88,6759.12
351800,311154.34,40645.66
779200,667627.56,111572.44
484400,454381.4,30018.59
536700,502187.38,34512.62
1074100,1012543.7,61556.31
233600,223574.16,10025.84
236800,229513.52,7286.48
788500,616586.4,171913.62
506600,547490.3,-40890.31
215600,198547.6,17052.41
435300,444855.9,-9555.91
396300,352941.6,43358.41
366700,302753.97,63946.03
267500,255071.64,12428.36
431500,398438.75,33061.25
147400,131604.6,15795.41
356100,326510.44,29589.56
247600,217648.06,29951.94
597900,606725.7,-8825.69
192600,223517.08,-30917.08
238700,243467.4,-4767.41
299900,288998.1,10901.91
513700,502134.03,11565.97
373400,368294.12,5105.88
345200,329028.16,16171.84
675000,633375.4,41624.62
607100,572338.94,34761.06
251300,244730.72,6569.28
423000,399318.2,23681.81
330700,312397.4,18302.59
330100,296860.44,33239.56
423600,402063.2,21536.81
231600,220743.95,10856.05
334800,312743.06,22056.94
207000,246692.12,-39692.12
220000,221195.14,-1195.14
249000,232496.08,16503.92
320500,287965.03,32534.97
279400,230012.2,49387.8
226100,226637.22,-537.22
496400,372696.28,123703.72
211500,189896.84,21603.16
417300,358153.6,59146.41
195300,176998.95,18301.05
596400,633410.9,-37010.88
484800,522811.0,-38011.0
236200,245474.6,-9274.59
263400,275040.38,-11640.38
356000,337541.56,18458.44
370900,372190.9,-1290.91
325300,259227.81,66072.19
296100,304369.03,-8269.03
221600,208089.81,13510.19
826500,774439.06,52060.94
584300,574999.2,9300.81
758700,733074.9,25625.12
237500,263208.94,-25708.94
464000,467784.4,-3784.41
363700,343658.9,20041.09
306000,333726.7,-27726.69
340500,387901.47,-47401.47
652900,515897.38,137002.62
252400,247239.58,5160.42
248000,244271.69,3728.31
365300,330281.1,35018.91
324100,275733.12,48366.88
268000,260875.77,7124.23
428900,484264.47,-55364.47
593800,548787.8,45012.19
252000,246530.31,5469.69
261200,242048.84,19151.16
359600,280271.06,79328.94
212500,284785.5,-72285.5
381000,296077.0,84923.0
228700,227577.1,1122.91
196600,201107.77,-4507.77
214500,232581.69,-18081.69
492500,686993.94,-194493.94
209800,208152.4,1647.59
225900,195556.1,30343.91
30000,84173.26,-54173.26
464900,448825.44,16074.56
587600,576174.3,11425.69
249300,260231.69,-10931.69
371800,339552.53,32247.47
310200,304304.62,5895.38
614000,552929.5,61070.5
283300,262430.53,20869.47
239400,236636.31,2763.69
460900,373024.7,87875.31
191400,203899.34,-12499.34
390800,304876.03,85923.97
441000,398253.75,42746.25
255600,229045.14,26554.86
250100,247574.28,2525.72
241300,257812.06,-16512.06
353800,338939.7,14860.31
425100,378354.47,46745.53
217200,235975.1,-18775.09
551500,516525.0,34975.0
360900,323714.8,37185.19
297600,274324.1,23275.91
259500,266714.0,-7214.0
255800,196860.4,58939.59
194600,229278.73,-34678.73
587400,519669.38,67730.62
253300,250474.27,2825.73
238500,243937.06,-5437.06
553100,562413.9,-9313.88
430400,412185.84,18214.16
505700,460576.38,45123.62
545500,528169.56,17330.44
253500,241968.38,11531.62
380100,363296.03,16803.97
667100,613850.2,53249.81
241100,224533.72,16566.28
211000,225078.05,-14078.05
164900,173400.58,-8500.58
284600,274672.97,9927.03
256000,260494.95,-4494.95
226300,162880.72,63419.28
337700,312175.9,25524.09
326100,310414.12,15685.88
756500,669602.1,86897.88
314800,271831.72,42968.28
506000,505309.0,691.0
289000,248999.4,40000.59
444300,405635.62,38664.38
243900,248285.81,-4385.81
488100,453750.97,34349.03
233200,224067.05,9132.95
425000,382553.8,42446.19
413500,437129.03,-23629.03
345300,279273.6,66026.41
273200,273257.38,-57.38
256900,230621.44,26278.56
263800,215356.98,48443.02
171500,208742.55,-37242.55
399300,378749.03,20550.97
322000,293707.5,28292.5
220500,217670.5,2829.5
450500,415969.6,34530.41
465500,432166.2,33333.81
418300,376559.56,41740.44
444000,432592.16,11407.84
369600,345480.56,24119.44
505000,464605.8,40394.19
504200,470241.3,33958.69
239000,214542.69,24457.31
243900,236671.78,7228.22
466800,424863.62,41936.38
446100,377029.12,69070.88
452700,429523.44,23176.56
230600,217203.69,13396.31
127700,148827.05,-21127.05
224800,255694.84,-30894.84
434900,404398.8,30501.19
484900,476944.8,7955.19
389700,327998.9,61701.09
671000,633486.0,37514.0
563200,555059.44,8140.56
265800,262241.53,3558.47
420400,372448.8,47951.19
491100,478573.8,12526.19
573500,561129.44,12370.56
480500,447544.16,32955.84
281700,305362.66,-23662.66
1005800,1118168.9,-112368.88
378000,360138.6,17861.41
276400,294938.34,-18538.34
298600,268071.62,30528.38
599000,534950.1,64049.88
356700,338715.9,17984.09
240400,235374.9,5025.09
219600,206480.0,13120.0
331400,325202.5,6197.5
615700,733875.1,-118175.12
332100,279982.9,52117.09
151500,147673.52,3826.48
451900,447356.9,4543.09
583300,571735.56,11564.44
577300,516963.7,60336.31
660400,722604.2,-62204.19
275600,274405.25,1194.75
430700,384966.56,45733.44
600000,838291.25,-238291.25
316500,249721.95,66778.05
888800,846432.2,42367.81
274500,270184.22,4315.78
248400,301922.06,-53522.06
451700,460479.0,-8779.0
788100,722517.4,65582.62
505600,374324.28,131275.72
236300,226527.36,9772.64
302400,284671.0,17729.0
185800,157393.95,28406.05
607300,501195.53,106104.47
388400,372460.03,15939.97
348300,281717.2,66582.81
511500,569160.4,-57660.38
271500,260912.16,10587.84
408600,349101.53,59498.47
284100,278467.03,5632.97
224100,226205.34,-2105.34
346800,327484.3,19315.69
234500,207581.28,26918.72
201400,180834.55,20565.45
404300,383563.9,20736.09
935000,554807.7,380192.31
364800,344446.1,20353.91
363200,324170.97,39029.03
932100,908088.5,24011.5
275200,309784.1,-34584.09
366900,355995.88,10904.12
368100,351788.8,16311.19
246100,232759.77,13340.23
275700,253979.94,21720.06
389300,395997.2,-6697.19
243400,237998.69,5401.31
342200,312792.2,29407.81
350400,356602.75,-6202.75
237700,205750.14,31949.86
269900,240391.05,29508.95
228600,214497.42,14102.58
213500,203651.22,9848.78
445500,422216.72,23283.28
374500,351147.12,23352.88
258800,226965.23,31834.77
400600,406920.4,-6320.41
499200,450940.9,48259.09
275000,253958.4,21041.59
538100,587047.7,-48947.69
458200,444470.9,13729.09
212700,202327.23,10372.77
236900,239886.52,-2986.52
283800,290129.97,-6329.97
381000,387864.38,-6864.38
279100,246550.64,32549.36
294500,325488.2,-30988.19
419100,448155.12,-29055.12
240200,231827.64,8372.36
261000,220215.6,40784.41
375400,322352.5,53047.5
122200,150277.2,-28077.2
599800,559633.94,40166.06
374200,422160.8,-47960.81
313600,343106.25,-29506.25
535500,519757.03,15742.97
292200,288845.47,3354.53
214400,193905.77,20494.23
440000,413534.28,26465.72
631700,592080.1,39619.88
352500,341553.8,10946.19
360000,345791.12,14208.88
280600,316838.16,-36238.16
270200,272129.9,-1929.91
62500,120786.69,-58286.69
244200,242911.86,1288.14
512800,526405.1,-13605.12
395500,399667.03,-4167.03
213800,177755.45,36044.55
332800,307355.8,25444.19
642400,631476.4,10923.62
355000,389886.47,-34886.47
255000,261436.77,-6436.77
234800,238864.98,-4064.98
580800,623568.25,-42768.25
166600,202565.3,-35965.3
496700,494204.6,2495.41
