Actual,Predicted,Difference
363000,361092.68,1907.32
372300,370576.37,1723.63
227900,227044.0,856.0
467800,466873.37,926.63
596300,582775.67,13524.33
267800,266754.91,1045.09
277700,277891.8,-191.8
199400,189212.0,10188.0
354500,352954.33,1545.67
462800,461080.67,1719.33
372400,363684.67,8715.33
473100,475463.08,-2363.08
486400,483859.56,2540.44
660200,656281.81,3918.19
404400,406687.83,-2287.83
604300,593549.13,10750.87
154200,153197.33,1002.67
143700,144415.31,-715.31
529800,530012.46,-212.46
332900,333863.36,-963.36
156200,156202.33,-2.33
358900,362977.33,-4077.33
451600,450678.3,921.7
244800,245650.97,-850.97
368600,369374.67,-774.67
259900,257614.93,2285.07
435800,436449.05,-649.05
240500,241122.33,-622.33
295000,294774.05,225.95
645300,626463.17,18836.83
443600,437196.0,6404.0
464000,463514.14,485.86
345800,345497.98,302.02
456000,458042.64,-2042.64
268700,267214.15,1485.85
479400,477675.63,1724.37
244200,243180.37,1019.63
618500,605711.56,12788.44
712200,700328.0,11872.0
437600,440170.17,-2570.17
455600,454348.91,1251.09
238200,237056.94,1143.06
485600,486375.11,-775.11
400200,396922.0,3278.0
406100,400837.33,5262.67
247200,246262.0,938.0
274900,273717.67,1182.33
440800,446450.33,-5650.33
542900,536005.17,6894.83
456800,449976.0,6824.0
180500,180007.0,493.0
140800,141166.61,-366.61
268200,268393.67,-193.67
551200,504746.0,46454.0
364300,364412.0,-112.0
250200,252011.38,-1811.38
339300,338083.27,1216.73
495100,502497.98,-7397.98
394500,405963.93,-11463.93
369100,367422.92,1677.08
490700,488567.24,2132.76
246500,245376.12,1123.88
376100,377751.67,-1651.67
243800,243657.91,142.09
480000,481689.91,-1689.91
571500,575781.56,-4281.56
145000,179911.0,-34911.0
240600,241310.5,-710.5
392600,391845.17,754.83
3275000,2008969.67,1266030.33
331200,329738.68,1461.32
535400,545856.18,-10456.18
201500,202577.22,-1077.22
258900,259306.87,-406.87
308300,307222.0,1078.0
326300,312511.67,13788.33
233600,233631.1,-31.1
539100,474345.0,64755.0
242100,242305.97,-205.97
228700,229501.92,-801.92
594800,590659.61,4140.39
191400,191387.61,12.39
406000,404986.89,1013.11
289400,289170.0,230.0
260900,259984.16,915.84
274300,271725.67,2574.33
238800,236769.33,2030.67
377300,375871.71,1428.29
492800,487776.75,5023.25
446900,447498.83,-598.83
306600,301381.67,5218.33
102100,103252.67,-1152.67
375300,372465.52,2834.48
83000,83204.0,-204.0
219900,218376.5,1523.5
308800,307679.33,1120.67
415200,412962.42,2237.58
248200,247742.79,457.21
267300,263986.13,3313.87
339000,337480.36,1519.64
612600,619300.88,-6700.88
794600,781679.59,12920.41
296100,295038.92,1061.08
863200,734138.67,129061.33
256900,256814.39,85.61
215000,214723.61,276.39
1750000,1685313.67,64686.33
269600,269665.83,-65.83
709600,695865.02,13734.98
259000,258800.3,199.7
582400,577044.81,5355.19
257900,255978.67,1921.33
502100,526852.89,-24752.89
209000,208744.44,255.56
899300,878037.46,21262.54
428400,428632.78,-232.78
501500,521582.67,-20082.67
337100,333985.0,3115.0
489100,483925.67,5174.33
401700,403194.24,-1494.24
376300,376380.29,-80.29
442900,444515.87,-1615.87
219000,221223.22,-2223.22
280900,284024.7,-3124.7
188100,187953.39,146.61
262900,261848.33,1051.67
469600,465582.77,4017.23
244000,244865.33,-865.33
311400,310952.27,447.73
269400,268034.64,1365.36
275000,275910.21,-910.21
287800,303476.33,-15676.33
604800,598441.52,6358.48
295900,296023.02,-123.02
222900,222148.29,751.71
452000,450708.0,1292.0
241300,241527.16,-227.16
568500,590891.85,-22391.85
499800,483602.67,16197.33
287800,288810.0,-1010.0
428800,421869.03,6930.97
329800,327754.83,2045.17
955500,946135.56,9364.44
372300,374824.26,-2524.26
490300,490922.3,-622.3
450600,452241.33,-1641.33
267300,267775.44,-475.44
450000,456009.44,-6009.44
627100,626145.22,954.78
229400,229142.67,257.33
346500,346799.06,-299.06
273400,274274.0,-874.0
267200,271041.38,-3841.38
986900,885713.67,101186.33
367500,366641.32,858.68
233400,233575.51,-175.51
270500,272618.29,-2118.29
343400,347199.67,-3799.67
308300,307635.07,664.93
433700,417694.42,16005.58
336500,332500.67,3999.33
251500,251371.62,128.38
303800,305764.22,-1964.22
269500,280318.0,-10818.0
228000,227906.22,93.78
239500,241804.67,-2304.67
385400,391016.33,-5616.33
455600,449955.67,5644.33
541500,550293.6,-8793.6
214800,214871.94,-71.94
520000,679771.0,-159771.0
505300,513019.33,-7719.33
242000,242207.64,-207.64
469700,489261.31,-19561.31
411500,404642.61,6857.39
286400,288070.07,-1670.07
262700,260464.97,2235.03
822500,794962.11,27537.89
288700,288102.46,597.54
468600,466975.67,1624.33
540400,536448.44,3951.56
351700,353099.04,-1399.04
814100,790615.23,23484.77
287300,289302.0,-2002.0
564700,556856.75,7843.25
842000,825527.17,16472.83
328900,329900.42,-1000.42
501200,497855.07,3344.93
238800,239238.97,-438.97
335900,336520.45,-620.45
450800,445131.4,5668.6
320700,320476.89,223.11
218000,216370.9,1629.1
635000,640643.33,-5643.33
266600,265950.09,649.91
423300,424894.67,-1594.67
230400,230531.42,-131.42
557200,549690.0,7510.0
335200,334798.28,401.72
268300,267403.33,896.67
